Court,GAK,Year,Result,Date
Πρωτοδικείο Αθηνών,89986,2022,22/2023 - ΑΠΟΡΡΙΠΤΕΙ,2023-02-22
Ειρηνοδικείο Χαλανδρίου,633,2022,22/2023 - ΑΠΟΡΡΙΠΤΕΙ,2023-02-22
